Timestamp,Central Plant Chiller 1 Chiller Efficiency (kW/ton) (1)2024,Central Plant Chiller 1 Chiller Efficiency (kW/ton) (2)2022,Central Plant Chiller 2 Chiller Efficiency (kW/ton) (1),Central Plant Chiller 2 Chiller Efficiency (kW/ton) (2),Central Plant Chiller 3 Chiller Efficiency (kW/ton) (1),Central Plant Chiller 3 Chiller Efficiency (kW/ton) (2),Central Plant CHW Plant Chilled Water Efficiency (C) (1),Central Plant CHW Plant Chilled Water Efficiency (C) (2),Central Plant CHW Plant Chilled Water Tons of Refrigeration (1),Central Plant CHW Plant Chilled Water Tons of Refrigeration (2),Central Plant CHW Plant Chiller Stage (1),Central Plant CHW Plant Chiller Stage (2),Central Plant CHW Plant Outside Air Temp (1),Central Plant CHW Plant Outside Air Temp (2),Central Plant CHW Plant Total Power (1),Central Plant CHW Plant Total Power (2),Central Plant Condenser Loop Wet Bulb Temp (1),Central Plant Condenser Loop Wet Bulb Temp (2)
2024-01-01T00:00:00-08:00 Los_Angeles,0_kW/Ton,1.3596493403116863_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0.2990107575371414kW/ton,1.9501575032869976_Ton,23.908552487691242_Ton,AAAA,AAAB,53.333936055501304°F,49.59770075480143°F,17.395591735839844kW,78.71357727050781kW,50.519453048706055°F,47.31265195210775°F
2024-01-01T01:00:00-08:00 Los_Angeles,0_kW/Ton,1.1398620903491974_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0.7162636528559018kW/ton,1.651124748090903_Ton,28.37607987721761_Ton,AAAA,AAAB,52.1235466003418°F,48.55739657084147°F,17.396358489990234kW,75.71318054199219kW,49.75970904032389°F,46.62036577860514°F
2024-01-01T02:00:00-08:00 Los_Angeles,0_kW/Ton,1.15005957086881_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0.28740403518621205kW/ton,1.4207238803307216_Ton,29.263068199157715_Ton,AAAA,AAAB,51.489602406819664°F,48.3795051574707°F,17.408414840698242kW,77.22756958007812kW,48.90092023213705°F,46.40272331237793°F
2024-01-01T03:00:00-08:00 Los_Angeles,0_kW/Ton,1.1817961434523265_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,1.1542819142341614_Ton,24.915573755900066_Ton,AAAA,AAAB,50.513930002848305°F,48.84029579162598°F,17.3929443359375kW,68.9686050415039kW,48.121908823649086°F,46.696471532185875°F
2024-01-01T04:00:00-08:00 Los_Angeles,0_kW/Ton,0.8587031761805216_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.066935775199543kW/ton,1.473644196987152_Ton,58.944583574930824_Ton,AAAA,AAAB,50.77654266357422°F,47.95372454325358°F,17.40163230895996kW,94.1605224609375kW,47.56696701049805°F,45.53384526570638°F
2024-01-01T05:00:00-08:00 Los_Angeles,0_kW/Ton,0.6881040831406912_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.2082403918980742kW/ton,1.461387316385905_Ton,68.87071863810222_Ton,AAAA,AAAB,50.623322168986°F,48.11094347635905°F,17.40216064453125kW,91.54911804199219kW,46.90747261047363°F,43.25460688273112°F
2024-01-01T06:00:00-08:00 Los_Angeles,0_kW/Ton,0.7606149911880493_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.3227592252498kW/ton,1.4849783405661583_Ton,66.04191335042317_Ton,AAAA,AAAB,49.74228159586588°F,47.38137626647949°F,17.390188217163086kW,99.00474548339844kW,46.0609188079834°F,42.4721253712972°F
2024-01-01T07:00:00-08:00 Los_Angeles,0_kW/Ton,1.0317880908648174_kW/Ton,0_kW/Ton,0_kW/Ton,0.3094359536965688_kW/Ton,0_kW/Ton,0.4177463050281012kW/ton,1.7512873322916926kW/ton,211.2061217650771_Ton,48.01272964477539_Ton,AAAAAAAB,AAAB,50.33546574910482°F,47.179056803385414°F,172.19407653808594kW,87.1122055053711kW,46.00487454732259°F,42.474892934163414°F
2024-01-01T08:00:00-08:00 Los_Angeles,0_kW/Ton,1.1354796489079793_kW/Ton,0_kW/Ton,0_kW/Ton,0.4185084154208501_kW/Ton,0_kW/Ton,0.6361677273781274kW/ton,1.9880022397855341kW/ton,145.5554402669271_Ton,42.138342221577965_Ton,AAAB,AAAB,51.8509464263916°F,48.63429578145345°F,101.36477661132812kW,96.19979095458984kW,46.58388455708822°F,43.63723945617676°F
2024-01-01T09:00:00-08:00 Los_Angeles,0_kW/Ton,1.0743538737297058_kW/Ton,0_kW/Ton,0_kW/Ton,0.41302306453386944_kW/Ton,0_kW/Ton,0.6400770376725213kW/ton,2.0277940924861038kW/ton,162.24021657307944_Ton,40.080793380737305_Ton,AAAB,AAAB,56.43531735738119°F,51.88935979207357°F,111.25946044921875kW,87.32862854003906kW,48.63392448425293°F,45.94554583231608°F
2024-01-01T10:00:00-08:00 Los_Angeles,0_kW/Ton,0.9640625317891439_kW/Ton,0_kW/Ton,0_kW/Ton,0.4855571885903676_kW/Ton,0_kW/Ton,0.8190632780862267kW/ton,1.8111664675612096kW/ton,120.26834106445312_Ton,44.37074406941732_Ton,AAAB,AAAB,61.051801681518555°F,55.56159528096517°F,100.71238708496094kW,89.73274230957031kW,49.933593114217125°F,47.99935976664225°F
2024-01-01T11:00:00-08:00 Los_Angeles,0_kW/Ton,0.8312660853068033_kW/Ton,0_kW/Ton,0_kW/Ton,0.7772142787774404_kW/Ton,0_kW/Ton,1.5251260141910645kW/ton,1.7158368647661517kW/ton,68.42172114054362_Ton,48.2517032623291_Ton,AAAB,AAAB,63.704349517822266°F,59.415645599365234°F,100.11182403564453kW,83.16485595703125kW,50.53086916605631°F,49.7257932027181°F
2024-01-01T12:00:00-08:00 Los_Angeles,0_kW/Ton,0.7778384486834208_kW/Ton,0_kW/Ton,0_kW/Ton,0.7802626589934031_kW/Ton,0_kW/Ton,1.5654234304633896kW/ton,1.5941831340832804kW/ton,59.16954358418783_Ton,53.01896858215332_Ton,AAAB,AAAB,66.63179524739583°F,60.628159840901695°F,94.88751983642578kW,85.84040069580078kW,50.826524098714195°F,49.5463498433431°F
2024-01-01T13:00:00-08:00 Los_Angeles,0_kW/Ton,0.7250990867614746_kW/Ton,0_kW/Ton,0_kW/Ton,0.6211248338222504_kW/Ton,0_kW/Ton,1.1759523518991064kW/ton,1.4275449383072802kW/ton,81.16679000854492_Ton,61.44206428527832_Ton,AAAB,AAAB,67.19249725341797°F,60.90218607584635°F,103.4720458984375kW,89.72600555419922kW,50.99078687032064°F,48.34092775980631°F
2024-01-01T14:00:00-08:00 Los_Angeles,0_kW/Ton,0.6437047322591146_kW/Ton,0_kW/Ton,0_kW/Ton,0.4747855216264725_kW/Ton,0_kW/Ton,0.9492050125909426kW/ton,1.2060533531631956kW/ton,124.66568247477214_Ton,73.61802228291829_Ton,AAAB,AAAB,66.54173151652019°F,61.465898513793945°F,126.1490478515625kW,89.39085388183594kW,50.51488812764486°F,47.65693791707357°F
2024-01-01T15:00:00-08:00 Los_Angeles,0_kW/Ton,0.6775728364785513_kW/Ton,0_kW/Ton,0_kW/Ton,0.5304310272137324_kW/Ton,0_kW/Ton,1.1171260090682325kW/ton,1.315685270044473kW/ton,109.13368352254231_Ton,67.00811767578125_Ton,AAAB,AAAB,65.87543614705403°F,60.31616719563802°F,132.49411010742188kW,88.26666259765625kW,50.880968729654946°F,48.82380294799805°F
2024-01-01T16:00:00-08:00 Los_Angeles,0_kW/Ton,0.6955270369847616_kW/Ton,0_kW/Ton,0_kW/Ton,0.6330898205439249_kW/Ton,0_kW/Ton,1.5666345287888996kW/ton,1.3467486550213594kW/ton,82.77771504720052_Ton,63.06187502543131_Ton,AAAB,AAAB,63.80677159627279°F,58.63547579447428°F,134.59515380859375kW,87.57804870605469kW,51.491373697916664°F,48.09907531738281°F
2024-01-01T17:00:00-08:00 Los_Angeles,0_kW/Ton,0.7659533520539602_kW/Ton,0_kW/Ton,0_kW/Ton,0.7536241213480631_kW/Ton,0_kW/Ton,2.025509313779411kW/ton,1.5405704849447746kW/ton,61.51316833496094_Ton,53.013811111450195_Ton,AAAB,AAAB,60.52586110432943°F,55.31643295288086°F,128.4100799560547kW,83.11591339111328kW,51.61608759562174°F,47.594139099121094°F
2024-01-01T18:00:00-08:00 Los_Angeles,0_kW/Ton,0.8806135654449463_kW/Ton,0_kW/Ton,0_kW/Ton,0.8670827647050222_kW/Ton,0_kW/Ton,2.6201590347077044kW/ton,1.6631496739539753kW/ton,56.034369786580406_Ton,48.88573137919108_Ton,AAAB,AAAB,58.91397031148275°F,53.511298497517906°F,148.4643096923828kW,87.78871154785156kW,52.802449544270836°F,47.128292083740234°F
2024-01-01T19:00:00-08:00 Los_Angeles,0_kW/Ton,1.0152295132478077_kW/Ton,0_kW/Ton,0_kW/Ton,0.9000314772129059_kW/Ton,0_kW/Ton,2.971065191127952kW/ton,1.9222256731489458kW/ton,47.20864486694336_Ton,41.006975173950195_Ton,AAAB,AAAB,58.098565419514976°F,52.28813107808431°F,144.0599365234375kW,92.8102798461914kW,52.077470779418945°F,46.914883295694985°F
2024-01-01T20:00:00-08:00 Los_Angeles,0_kW/Ton,1.5948148369789124_kW/Ton,0_kW/Ton,0_kW/Ton,0.15986342231432596_kW/Ton,0_kW/Ton,0.4940630885839236kW/ton,0.3559543472789768kW/ton,8.712555170059204_Ton,26.309878985087078_Ton,AAABAAAA,AAAB,56.59385299682617°F,51.208075841267906°F,126.2625732421875kW,87.54393005371094kW,50.745426177978516°F,46.74239285786947°F
2024-01-01T21:00:00-08:00 Los_Angeles,0_kW/Ton,7.484227776527405_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,1.383197081585725_Ton,6.90440034866333_Ton,AAAA,AAAB,54.4104258219401°F,50.2739003499349°F,17.38956069946289kW,64.16779327392578kW,49.55284182230631°F,46.34378242492676°F
2024-01-01T22:00:00-08:00 Los_Angeles,0_kW/Ton,9.766770680745443_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,1.6938326557477315_Ton,2.998119274775187_Ton,AAAA,AAAB,54.254782358805336°F,48.65269533793131°F,17.392789840698242kW,60.72395324707031kW,49.783830642700195°F,44.9958241780599°F
2024-01-01T23:00:00-08:00 Los_Angeles,0_kW/Ton,7.52611102660497_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0.35582286575830985kW/ton,2.0641966660817466_Ton,7.410813627143701_Ton,AAAA,AAAB,52.876587549845375°F,48.9857972462972°F,17.383007049560547kW,69.2081527709961kW,48.93766848246256°F,43.47163073221842°F
2024-01-02T00:00:00-08:00 Los_Angeles,0_kW/Ton,1.4482439955075581_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,1.2102513536810875_Ton,20.53942632675171_Ton,AAAA,AAAB,50.918739318847656°F,47.74286206563314°F,17.390491485595703kW,62.07437515258789kW,48.00150934855143°F,42.88514963785807°F
2024-01-02T01:00:00-08:00 Los_Angeles,0_kW/Ton,1.4366111556688945_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,1.9167149464289348_Ton,25.348698616027832_Ton,AAAA,AAAB,49.83560880025228°F,47.247680028279625°F,17.39935874938965kW,69.97305297851562kW,46.593125661214195°F,40.9175656636556°F
2024-01-02T02:00:00-08:00 Los_Angeles,0_kW/Ton,1.193140834569931_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0.6420576524459448kW/ton,2.3140739599863687_Ton,27.704077402750652_Ton,AAAA,AAAB,49.89351908365885°F,45.72918701171875°F,17.388999938964844kW,71.31788635253906kW,45.046441396077476°F,39.38072522481283°F
2024-01-02T03:00:00-08:00 Los_Angeles,0_kW/Ton,1.30283917983373_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,1.8296153967579205_Ton,25.91175142923991_Ton,AAAA,AAAB,49.92346700032552°F,44.30172983805338°F,17.38799476623535kW,67.80819702148438kW,44.561774571736656°F,38.48571968078613°F
2024-01-02T04:00:00-08:00 Los_Angeles,0_kW/Ton,0.9854799409707388_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.1167380668383826kW/ton,1.8567952911059062_Ton,36.166988372802734_Ton,AAAA,AAAB,48.351935068766274°F,44.82984288533529°F,17.40410614013672kW,81.06427001953125kW,43.77256075541178°F,37.7005500793457°F
2024-01-02T05:00:00-08:00 Los_Angeles,0_kW/Ton,0.8461181422074636_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.5412399927292217kW/ton,0.6793748885393143_Ton,46.851627349853516_Ton,AAAA,AAAB,47.58920860290527°F,45.28388341267904°F,17.40581703186035kW,79.37423706054688kW,43.38874880472819°F,37.77669906616211°F
2024-01-02T06:00:00-08:00 Los_Angeles,0_kW/Ton,0.8815558850765228_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.6269622873145018kW/ton,2.4821461836496987_Ton,45.38782628377279_Ton,AAAA,AAAB,47.47639846801758°F,44.75778388977051°F,17.396648406982422kW,78.09124755859375kW,42.949445724487305°F,37.22525978088379°F
2024-01-02T07:00:00-08:00 Los_Angeles,0_kW/Ton,1.0877063870429993_kW/Ton,0.17640025417009988_kW/Ton,0_kW/Ton,0.1367012287179629_kW/Ton,0_kW/Ton,0.4207783410669905kW/ton,1.7012790156835325kW/ton,211.1858779589335_Ton,35.87264887491862_Ton,AAAAAAAB,AAAB,48.62715085347494°F,44.21721076965332°F,150.48980712890625kW,84.2578125kW,43.29046376546224°F,36.77349853515625°F
2024-01-02T08:00:00-08:00 Los_Angeles,0_kW/Ton,1.0776757697264354_kW/Ton,0.31525982916355133_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.3966570825777976kW/ton,1.2723493471403158kW/ton,218.57321421305338_Ton,34.56109078725179_Ton,AAAB,AAAB,51.63609822591146°F,46.81159591674805°F,96.77742004394531kW,75.8956069946289kW,45.379137674967446°F,38.30399958292643°F
2024-01-02T09:00:00-08:00 Los_Angeles,0_kW/Ton,0.9924099644025167_kW/Ton,0.3214859912792842_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.43538968124191696kW/ton,1.9421747414273318kW/ton,218.35116831461588_Ton,35.604216893514_Ton,AAAB,AAAB,58.004631678263344°F,52.10727500915527°F,97.9867172241211kW,75.19708251953125kW,49.88128217061361°F,40.17904726664225°F
2024-01-02T10:00:00-08:00 Los_Angeles,0_kW/Ton,0.9935383399327596_kW/Ton,0.37338516116142273_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.5715357245705267kW/ton,1.9219671826645064kW/ton,202.37811024983725_Ton,36.77539793650309_Ton,AAAB,AAAB,62.257717768351235°F,55.9228941599528°F,127.4172134399414kW,86.49955749511719kW,53.20212364196777°F,41.496533711751304°F
2024-01-02T11:00:00-08:00 Los_Angeles,0_kW/Ton,0.8690039316813151_kW/Ton,0.3501955022414525_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.5687264675180341kW/ton,1.6338755437701133kW/ton,209.65963745117188_Ton,51.34349536895752_Ton,AAAB,AAAB,64.76358858744304°F,58.996832529703774°F,131.96054077148438kW,86.77531433105469kW,55.05164082845052°F,42.866485595703125°F
2024-01-02T12:00:00-08:00 Los_Angeles,0_kW/Ton,0.7103646993637085_kW/Ton,0.3539209763209025_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.5442870420016054kW/ton,1.3399632613154513kW/ton,253.47674306233725_Ton,56.791504542032875_Ton,AAAB,AAAB,66.00711568196614°F,61.804620107014976°F,154.68597412109375kW,88.60258483886719kW,55.744391759236656°F,43.89419746398926°F
2024-01-02T13:00:00-08:00 Los_Angeles,0_kW/Ton,0.5365592986345291_kW/Ton,0.36043936014175415_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.5436917200200382kW/ton,1.1239961941581424kW/ton,292.61968994140625_Ton,70.70526059468587_Ton,AAAB,AAAB,66.24685287475586°F,62.4348087310791°F,177.19017028808594kW,90.96420288085938kW,56.042908350626625°F,43.79686292012533°F
2024-01-02T14:00:00-08:00 Los_Angeles,0_kW/Ton,0.5148704250653585_kW/Ton,0.35493244727452594_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.585195482998384kW/ton,1.1335928493862724kW/ton,296.14052327473956_Ton,69.39195696512859_Ton,AAAB,AAAB,65.03275044759114°F,63.13440068562826°F,191.460693359375kW,80.37415313720703kW,56.33273506164551°F,44.31890296936035°F
2024-01-02T15:00:00-08:00 Los_Angeles,0_kW/Ton,0.5696363200743993_kW/Ton,0.36765124400456745_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.6769044595388504kW/ton,1.1089480322402014kW/ton,265.6628672281901_Ton,72.99975713094075_Ton,AAAB,AAAB,63.400647481282554°F,63.4890931447347°F,198.1375732421875kW,87.44953918457031kW,55.922993977864586°F,44.333306630452476°F
2024-01-02T16:00:00-08:00 Los_Angeles,0_kW/Ton,0.6030306567748388_kW/Ton,0.340434009830157_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.8448533004041456kW/ton,1.2170832509900606kW/ton,227.37291971842447_Ton,61.980162938435875_Ton,AAAB,AAAB,61.383262634277344°F,60.85257085164388°F,193.2823486328125kW,82.2038345336914kW,53.69642575581869°F,44.42655563354492°F
2024-01-02T17:00:00-08:00 Los_Angeles,0_kW/Ton,0.819041500488917_kW/Ton,0.3773294637600581_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,1.0647060329228681kW/ton,1.5998793852154254kW/ton,193.23004150390625_Ton,46.99786631266276_Ton,AAAB,AAAB,59.02586046854655°F,56.54587745666504°F,212.8056640625kW,86.74341583251953kW,53.868631998697914°F,44.687723795572914°F
2024-01-02T18:00:00-08:00 Los_Angeles,0_kW/Ton,0.8977561593055725_kW/Ton,0.4062294562657674_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,1.3212118278832343kW/ton,1.8453461997980465kW/ton,158.41376495361328_Ton,39.8484141031901_Ton,AAAB,AAAB,57.45550282796224°F,54.548821131388344°F,208.84579467773438kW,84.08576202392578kW,53.146641413370766°F,46.41813659667969°F
2024-01-02T19:00:00-08:00 Los_Angeles,0_kW/Ton,0.9721935590108236_kW/Ton,0.44149095316727954_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,1.5410589492151796kW/ton,1.9175052467330989kW/ton,134.90322494506836_Ton,37.68179798126221_Ton,AAAB,AAAB,56.65495681762695°F,53.39320627848307°F,209.80105590820312kW,79.0424575805664kW,52.20850118001302°F,46.17730840047201°F
2024-01-02T20:00:00-08:00 Los_Angeles,0_kW/Ton,1.3611679871877034_kW/Ton,0.06691301862398784_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.2356457765759242kW/ton,0.25803918414274807kW/ton,34.55485455195109_Ton,27.309528668721516_Ton,AAABAAAA,AAAB,55.44358571370443°F,52.39942868550619°F,205.2114715576172kW,75.81157684326172kW,51.67143885294596°F,46.22982851664225°F
2024-01-02T21:00:00-08:00 Los_Angeles,0_kW/Ton,3.089431901772817_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,13.274758021036783_Ton,15.801468656708797_Ton,AAAA,AAAB,54.48663647969564°F,51.267368952433266°F,3.528857707977295kW,65.04159545898438kW,51.447750091552734°F,45.743614196777344°F
2024-01-02T22:00:00-08:00 Los_Angeles,0_kW/Ton,2.0049572189648948_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,12.640959898630777_Ton,17.583337942759197_Ton,AAAA,AAAB,53.923434575398765°F,50.05511283874512°F,3.333195924758911kW,69.46206665039062kW,51.45542526245117°F,45.43612098693848°F
2024-01-02T23:00:00-08:00 Los_Angeles,0_kW/Ton,1.2898497084776561_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,11.758546511332193_Ton,21.569533665974934_Ton,AAAA,AAAB,53.47917366027832°F,48.74901580810547°F,3.4535694122314453kW,74.07612609863281kW,51.17051442464193°F,42.24121538798014°F
2024-01-03T00:00:00-08:00 Los_Angeles,0_kW/Ton,1.2506462236245472_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0.3079833650568054kW/ton,12.829784711201986_Ton,27.92899163564046_Ton,AAAA,AAAB,52.54150390625°F,46.98031806945801°F,3.346696615219116kW,78.66834259033203kW,50.51624997456869°F,39.65169143676758°F
2024-01-03T01:00:00-08:00 Los_Angeles,0_kW/Ton,1.2496596376101177_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0.3546416035058802kW/ton,14.229654947916666_Ton,27.807037671407063_Ton,AAAA,AAAB,52.68935902913412°F,46.56532859802246°F,3.3465256690979004kW,67.59080505371094kW,50.83599281311035°F,38.61189333597819°F
2024-01-03T02:00:00-08:00 Los_Angeles,0_kW/Ton,1.5023546020189922_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,14.342665513356527_Ton,24.927104632059734_Ton,AAAA,AAAB,52.5183957417806°F,46.27664883931478°F,3.53196120262146kW,70.1419677734375kW,50.41998100280762°F,37.96737861633301°F
2024-01-03T03:00:00-08:00 Los_Angeles,0_kW/Ton,1.1194116473197937_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,0kW/ton,13.3977157274882_Ton,24.32548459370931_Ton,AAAA,AAAB,52.89085006713867°F,44.09797795613607°F,3.4329144954681396kW,61.009674072265625kW,50.808815002441406°F,37.03523826599121°F
2024-01-03T04:00:00-08:00 Los_Angeles,0_kW/Ton,0.8445200820763906_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.0772329355636387kW/ton,16.88490867614746_Ton,60.1278912226359_Ton,AAAA,AAAB,53.50272115071615°F,43.34709358215332°F,3.5099949836730957kW,101.41069793701172kW,51.16855430603027°F,36.64798164367676°F
2024-01-03T05:00:00-08:00 Los_Angeles,0_kW/Ton,0.7338817218939463_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.1811042178384776kW/ton,18.45700232187907_Ton,68.84827931722005_Ton,AAAA,AAAB,53.4044303894043°F,43.22548294067383°F,3.554072856903076kW,87.3783187866211kW,51.66145579020182°F,36.347133000691734°F
2024-01-03T06:00:00-08:00 Los_Angeles,0_kW/Ton,0.7251532276471456_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.0851984162857267kW/ton,22.30394395192464_Ton,68.90163866678874_Ton,AAAA,AAAB,53.554527282714844°F,43.21850268046061°F,3.7624363899230957kW,81.30912780761719kW,52.04636764526367°F,36.33765729268392°F
2024-01-03T07:00:00-08:00 Los_Angeles,0_kW/Ton,1.1509377261002858_kW/Ton,0.23956462740898132_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.2959161581037076kW/ton,1.153789168089787kW/ton,386.4989112218221_Ton,38.51458613077799_Ton,AAAAAAAB,AAAB,53.70462417602539°F,43.264007568359375°F,181.1571807861328kW,88.37938690185547kW,52.30884552001953°F,36.37945238749186°F
2024-01-03T08:00:00-08:00 Los_Angeles,0_kW/Ton,6.306564470132192_kW/Ton,0.30510589480400085_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.5038727682435955kW/ton,0.3410345928075403kW/ton,275.4794616699219_Ton,7.93079595764478_Ton,AAAB,AAAB,54.68913904825846°F,47.08179791768392°F,152.7721710205078kW,66.64067077636719kW,53.13081041971842°F,38.35968208312988°F
2024-01-03T09:00:00-08:00 Los_Angeles,0_kW/Ton,4.963160266478856_kW/Ton,0.389071265856425_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.8151912345493509kW/ton,0.22905393055666168kW/ton,165.84003702799478_Ton,13.233418305714926_Ton,AAAB,AAAB,56.8806209564209°F,50.917100270589195°F,142.8885040283203kW,57.27104949951172kW,52.26295534769694°F,40.50868606567383°F
2024-01-03T10:00:00-08:00 Los_Angeles,0_kW/Ton,0.9439400533835093_kW/Ton,0.36983062823613483_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.863618681030588kW/ton,1.4419059898349482kW/ton,150.54059092203775_Ton,35.86814880371094_Ton,AAAB,AAAB,58.214761098225914°F,56.584803899129234°F,130.99423217773438kW,73.85897064208984kW,51.01680819193522°F,43.071224212646484°F
2024-01-03T11:00:00-08:00 Los_Angeles,0_kW/Ton,0.6102107614278793_kW/Ton,0.32136504352092743_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.7252526248369359kW/ton,1.1817872456203424kW/ton,201.93729654947916_Ton,54.42508188883463_Ton,AAAB,AAAB,60.54036521911621°F,59.61137008666992°F,163.7540740966797kW,69.2164077758789kW,51.26851908365885°F,44.065029780069985°F
2024-01-03T12:00:00-08:00 Los_Angeles,0_kW/Ton,0.34360207120577496_kW/Ton,0.2963355630636215_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.7468252290347138kW/ton,0.6445841988695179kW/ton,229.34968058268228_Ton,113.997496287028_Ton,AAAB,AAAB,61.35030873616537°F,62.492021560668945°F,195.57403564453125kW,71.30066680908203kW,51.50048319498698°F,45.166069666544594°F
2024-01-03T13:00:00-08:00 Los_Angeles,0_kW/Ton,0.28041160603364307_kW/Ton,0.27972905337810516_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.7689867953409338kW/ton,0.5014487998631564kW/ton,254.244509379069_Ton,149.2898915608724_Ton,AAAB,AAAB,61.05262120564779°F,60.996419270833336°F,206.05908203125kW,78.65721130371094kW,50.91084416707357°F,47.44764264424642°F
2024-01-03T14:00:00-08:00 Los_Angeles,0_kW/Ton,0.2899426023165385_kW/Ton,0.2855006381869316_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.8388073572099387kW/ton,0.5201356707591208kW/ton,248.696169535319_Ton,145.2961629231771_Ton,AAAB,AAAB,60.53666432698568°F,59.62340418497721°F,220.76402282714844kW,77.22884368896484kW,51.23567008972168°F,47.74440256754557°F
2024-01-03T15:00:00-08:00 Los_Angeles,0_kW/Ton,0.28933435181776684_kW/Ton,0.3022650678952535_kW/Ton,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.9483698844983599kW/ton,0.5253105083751837kW/ton,223.7268269856771_Ton,145.82981745402017_Ton,AAAB,AAAB,60.27985763549805°F,58.70368639628092°F,232.8544158935547kW,78.83929443359375kW,51.77209345499674°F,47.27625020345052°F
