Timestamp,Central Plant Chiller 1 Chiller Efficiency (kW/ton) (1)2024,Central Plant Chiller 1 Chiller Efficiency (kW/ton) (2)2022,Central Plant Chiller 2 Chiller Efficiency (kW/ton) (1),Central Plant Chiller 2 Chiller Efficiency (kW/ton) (2),Central Plant Chiller 3 Chiller Efficiency (kW/ton) (1),Central Plant Chiller 3 Chiller Efficiency (kW/ton) (2),Central Plant CHW Plant Chilled Water Efficiency (C) (1),Central Plant CHW Plant Chilled Water Efficiency (C) (2),Central Plant CHW Plant Chilled Water Tons of Refrigeration (1),Central Plant CHW Plant Chilled Water Tons of Refrigeration (2),Central Plant CHW Plant Chiller Stage (1),Central Plant CHW Plant Chiller Stage (2),Central Plant CHW Plant Outside Air Temp (1),Central Plant CHW Plant Outside Air Temp (2),Central Plant CHW Plant Total Power (1),Central Plant CHW Plant Total Power (2),Central Plant Condenser Loop Wet Bulb Temp (1),Central Plant Condenser Loop Wet Bulb Temp (2)
2024-03-22T16:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.26707889636357623_kW/Ton,0.3215028792619705_kW/Ton,0_kW/Ton,0_kW/Ton,0.4408837576201395kW/ton,0.5236572746394824kW/ton,521.0894622802734_Ton,804.3967895507812_Ton,AAAB,AAAB,65.72842915852864°F,77.60095723470052°F,241.7790069580078kW,447.4624938964844kW,57.10789934794108°F,56.43003273010254°F
2024-03-22T17:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.2775611877441406_kW/Ton,0.2924882024526596_kW/Ton,0_kW/Ton,0_kW/Ton,0.4196849133941853kW/ton,0.55880026721294kW/ton,409.82366434733075_Ton,622.8705139160156_Ton,AAAB,AAAB,64.7338473002116°F,76.6740493774414°F,198.8070068359375kW,402.07952880859375kW,56.52677472432455°F,55.56292215983073°F
2024-03-22T18:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.2693621516227722_kW/Ton,0.27437053869167966_kW/Ton,0_kW/Ton,0_kW/Ton,0.49704136241296065kW/ton,0.6523184134139012kW/ton,309.45098876953125_Ton,436.1794738769531_Ton,AAAB,AAAB,62.39887046813965°F,74.81629816691081°F,158.86062622070312kW,300.3497314453125kW,55.76737149556478°F,54.535971323649086°F
2024-03-22T19:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.31004028022289276_kW/Ton,0.26719223459561664_kW/Ton,0_kW/Ton,0_kW/Ton,0.6006643327840459kW/ton,0.7185172394251156kW/ton,202.1861572265625_Ton,364.3668568929036_Ton,AAAB,AAAB,60.0085506439209°F,72.76547495524089°F,138.6322479248047kW,270.3726501464844kW,55.24136861165365°F,53.313201904296875°F
2024-03-22T20:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0.055113340417544045_kW/Ton,0.2983480642239253_kW/Ton,0_kW/Ton,0_kW/Ton,0.09792894129228807kW/ton,0.9355352208897801kW/ton,28.557579040527344_Ton,262.2155507405599_Ton,AAABAAAA,AAAB,59.50361442565918°F,71.05024719238281°F,100.67808532714844kW,253.6036376953125kW,55.05096880594889°F,52.934435526529946°F
2024-03-22T21:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.32233140369256336_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,1.327239139309722kW/ton,0_Ton,170.53888193766275_Ton,AAAA,AAAB,59.29597536722819°F,68.53931681315105°F,4.127161979675293kW,237.5887451171875kW,54.84382120768229°F,53.04588762919108°F
2024-03-22T22:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.5401977598667145_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,2.3936255883134536kW/ton,0_Ton,91.37646484375_Ton,AAAA,AAAB,58.98114776611328°F,66.50195058186848°F,4.241995334625244kW,214.53244018554688kW,54.63610967000326°F,53.941413243611656°F
2024-03-22T23:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.7132816016674042_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,3.269596880279771kW/ton,0_Ton,66.58152643839519_Ton,AAAA,AAAB,58.62959416707357°F,64.83207829793294°F,4.24778938293457kW,212.02452087402344kW,54.35685793558756°F,54.7432746887207°F
2024-03-23T00:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.9464059372742971_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,4.301197265350687kW/ton,0_Ton,50.126922607421875_Ton,AAAA,AAAB,58.38405227661133°F,61.86490058898926°F,4.147342681884766kW,212.54649353027344kW,54.692527770996094°F,55.846917470296226°F
2024-03-23T01:00:00-07:00 Los_Angeles,0_kW/Ton,0_kW/Ton,0_kW/Ton,0.7935190300146738_kW/Ton,0_kW/Ton,0_kW/Ton,0kW/ton,3.8512394066069686kW/ton,0_Ton,55.16620635986328_Ton,AAAA,AAAB,58.50698725382487°F,60.19527943929037°F,4.244388580322266kW,210.32183837890625kW,54.463061014811196°F,54.990811030069985°F
